id,Date,Quarter,Year,Month,#_of_Sales,Avg_List_Price,Avg_Sold_Price,Above/Below_Asking,Monthly_Change_$,Monthly_Change_%,Days_on_Market
c_001,2013-08-01,3,2013,8,1291,329900,321900,-2.42,-5100,-1.55,29
c_002,2013-09-01,3,2013,9,1251,339000,331000,-2.35,9100,2.82,24
c_003,2013-10-01,4,2013,10,1297,339900,332500,-2.17,1500,0.45,26
c_004,2013-11-01,4,2013,11,1111,339900,330500,-2.76,-2000,-0.6,28
c_005,2013-12-01,4,2013,12,785,329900,325000,-1.48,-5500,-1.66,31
c_006,2014-01-01,1,2014,1,867,338900,330750,-2.4,5750,1.76,32
c_007,2014-02-01,1,2014,2,1075,345500,339000,-1.88,8250,2.49,22
c_008,2014-03-01,1,2014,3,1396,344900,338100,-1.97,-900,-0.26,20
c_009,2014-04-01,2,2014,4,1562,350000,347900,-0.6,9800,2.89,21
c_010,2014-05-01,2,2014,5,1612,349000,340000,-2.57,-7900,-2.27,21
c_011,2014-06-01,2,2014,6,1596,356750,349500,-2.03,9500,2.79,23
c_012,2014-07-01,3,2014,7,1575,349000,340500,-2.43,-9000,-2.57,24
c_013,2014-08-01,3,2014,8,1374,337900,330000,-2.33,-10500,-3.08,27
c_014,2014-09-01,3,2014,9,1405,349900,340000,-2.82,10000,3.03,22
c_015,2014-10-01,4,2014,10,1447,349000,343000,-1.71,3000,0.88,23
c_016,2014-11-01,4,2014,11,1231,349000,339490,-2.72,-3510,-1.02,25
c_017,2014-12-01,4,2014,12,884,349900,341500,-2.4,2010,0.59,29
c_018,2015-01-01,1,2015,1,888,344950,337500,-2.15,-4000,-1.17,25
c_019,2015-02-01,1,2015,2,1200,335250,330000,-1.56,-7500,-2.22,22
c_020,2015-03-01,1,2015,3,1618,359900,355000,-1.36,25000,7.57,19
c_021,2015-04-01,2,2015,4,1764,365000,360000,-1.36,5000,1.4,20
c_022,2015-05-01,2,2015,5,1823,364900,357000,-2.16,-3000,-0.83,19
c_023,2015-06-01,2,2015,6,1916,360500,356500,-1.1,-500,-0.14,20
c_024,2015-07-01,3,2015,7,1723,359900,353000,-1.91,-3500,-0.98,23
c_025,2015-08-01,3,2015,8,1478,359250,353000,-1.73,0,0,25
c_026,2015-09-01,3,2015,9,1454,359906,355750,-1.15,2750,0.77,21
