id,date,bank_rate,Quarter,Year,Month,Week_Num,brm_lookup,,,
brw_001,2013-08-07,1.25,3,2013,8,32,brm_001,,,
brw_002,2013-08-14,1.25,3,2013,8,33,brm_001,,,
brw_003,2013-08-21,1.25,3,2013,8,34,brm_001,,,
brw_004,2013-08-28,1.25,3,2013,8,35,brm_001,,,
brw_005,2013-09-04,1.25,3,2013,9,36,brm_002,,,
brw_006,2013-09-11,1.25,3,2013,9,37,brm_002,,,
brw_007,2013-09-18,1.25,3,2013,9,38,brm_002,,,
brw_008,2013-09-25,1.25,3,2013,9,39,brm_002,,,
brw_009,2013-10-02,1.25,4,2013,10,40,brm_003,,,
brw_010,2013-10-09,1.25,4,2013,10,41,brm_003,,,
brw_011,2013-10-16,1.25,4,2013,10,42,brm_003,,,
brw_012,2013-10-23,1.25,4,2013,10,43,brm_003,,,
brw_013,2013-10-30,1.25,4,2013,10,44,brm_003,,,
brw_014,2013-11-06,1.25,4,2013,11,45,brm_004,,,
brw_015,2013-11-13,1.25,4,2013,11,46,brm_004,,,
brw_016,2013-11-20,1.25,4,2013,11,47,brm_004,,,
brw_017,2013-11-27,1.25,4,2013,11,48,brm_004,,,
brw_018,2013-12-04,1.25,4,2013,12,49,brm_005,,,
brw_019,2013-12-11,1.25,4,2013,12,50,brm_005,,,
brw_020,2013-12-18,1.25,4,2013,12,51,brm_005,,,
brw_021,2013-12-25,1.25,4,2013,12,52,brm_005,,,
brw_022,2014-01-01,1.25,1,2014,1,1,brm_006,,,
brw_023,2014-01-08,1.25,1,2014,1,2,brm_006,,,
brw_024,2014-01-15,1.25,1,2014,1,3,brm_006,,,
brw_025,2014-01-22,1.25,1,2014,1,4,brm_006,,,
brw_026,2014-01-29,1.25,1,2014,1,5,brm_006,,,
brw_027,2014-02-05,1.25,1,2014,2,6,brm_007,,,
brw_028,2014-02-12,1.25,1,2014,2,7,brm_007,,,
brw_029,2014-02-19,1.25,1,2014,2,8,brm_007,,,
brw_030,2014-02-26,1.25,1,2014,2,9,brm_007,,,
brw_031,2014-03-05,1.25,1,2014,3,10,brm_008,,,
brw_032,2014-03-12,1.25,1,2014,3,11,brm_008,,,
brw_033,2014-03-19,1.25,1,2014,3,12,brm_008,,,
brw_034,2014-03-26,1.25,1,2014,3,13,brm_008,,,
brw_035,2014-04-02,1.25,2,2014,4,14,brm_009,,,
brw_036,2014-04-09,1.25,2,2014,4,15,brm_009,,,
brw_037,2014-04-16,1.25,2,2014,4,16,brm_009,,,
brw_038,2014-04-23,1.25,2,2014,4,17,brm_009,,,
brw_039,2014-04-30,1.25,2,2014,4,18,brm_009,,,
brw_040,2014-05-07,1.25,2,2014,5,19,brm_010,,,
brw_041,2014-05-14,1.25,2,2014,5,20,brm_010,,,
brw_042,2014-05-21,1.25,2,2014,5,21,brm_010,,,
brw_043,2014-05-28,1.25,2,2014,5,22,brm_010,,,
brw_044,2014-06-04,1.25,2,2014,6,23,brm_011,,,
brw_045,2014-06-11,1.25,2,2014,6,24,brm_011,,,
brw_046,2014-06-18,1.25,2,2014,6,25,brm_011,,,
brw_047,2014-06-25,1.25,2,2014,6,26,brm_011,,,
brw_048,2014-07-02,1.25,3,2014,7,27,brm_012,,,
brw_049,2014-07-09,1.25,3,2014,7,28,brm_012,,,
brw_050,2014-07-16,1.25,3,2014,7,29,brm_012,,,
brw_051,2014-07-23,1.25,3,2014,7,30,brm_012,,,
brw_052,2014-07-30,1.25,3,2014,7,31,brm_012,,,
brw_053,2014-08-06,1.25,3,2014,8,32,brm_013,,,
brw_054,2014-08-13,1.25,3,2014,8,33,brm_013,,,
brw_055,2014-08-20,1.25,3,2014,8,34,brm_013,,,
brw_056,2014-08-27,1.25,3,2014,8,35,brm_013,,,
brw_057,2014-09-03,1.25,3,2014,9,36,brm_014,,,
brw_058,2014-09-10,1.25,3,2014,9,37,brm_014,,,
brw_059,2014-09-17,1.25,3,2014,9,38,brm_014,,,
brw_060,2014-09-24,1.25,3,2014,9,39,brm_014,,,
brw_061,2014-10-01,1.25,4,2014,10,40,brm_015,,,
brw_062,2014-10-08,1.25,4,2014,10,41,brm_015,,,
brw_063,2014-10-15,1.25,4,2014,10,42,brm_015,,,
brw_064,2014-10-22,1.25,4,2014,10,43,brm_015,,,
brw_065,2014-10-29,1.25,4,2014,10,44,brm_015,,,
brw_066,2014-11-05,1.25,4,2014,11,45,brm_016,,,
brw_067,2014-11-12,1.25,4,2014,11,46,brm_016,,,
brw_068,2014-11-19,1.25,4,2014,11,47,brm_016,,,
brw_069,2014-11-26,1.25,4,2014,11,48,brm_016,,,
brw_070,2014-12-03,1.25,4,2014,12,49,brm_017,,,
brw_071,2014-12-10,1.25,4,2014,12,50,brm_017,,,
brw_072,2014-12-17,1.25,4,2014,12,51,brm_017,,,
brw_073,2014-12-24,1.25,4,2014,12,52,brm_017,,,
brw_074,2014-12-31,1.25,4,2014,12,53,brm_017,,,
brw_075,2015-01-07,1.25,1,2015,1,2,brm_018,,,
brw_076,2015-01-14,1.25,1,2015,1,3,brm_018,,,
brw_077,2015-01-21,1,1,2015,1,4,brm_018,,,
brw_078,2015-01-28,1,1,2015,1,5,brm_018,,,
brw_079,2015-02-04,1,1,2015,2,6,brm_019,,,
brw_080,2015-02-11,1,1,2015,2,7,brm_019,,,
