Date,Number_of_Sales,Sold_Price,Days_on_Market,Above_Below_Asking_PCT,Bank_Rate,Variable_Mortgage_Rate,Inflation,Number_of_Sales_PCT_CHG,Sold_Price_PCT_CHG,Days_on_Market_PCT_CHG,BR_PCT_CHG,VMR_PCT_CHG,Inflation_PCT_CHG,Type
2013-08-01,1291,321900,29,-2.42,1.25,2.6,1.1,NULL,NULL,NULL,NULL,NULL,NULL,Condos
2013-09-01,1251,331000,24,-2.35,1.25,2.6,1.1,-0.031,0.028,-0.172,0,0,0,Condos
2013-10-01,1297,332500,26,-2.17,1.25,2.5,0.9,0.037,0.005,0.083,0,-0.038,-0.182,Condos
2013-11-01,1111,330500,28,-2.76,1.25,2.5,0.9,-0.143,-0.006,0.077,0,0,0,Condos
2013-12-01,785,325000,31,-1.48,1.25,2.5,0.9,-0.293,-0.017,0.107,0,0,0,Condos
2014-01-01,867,330750,32,-2.4,1.25,2.5,1.4,0.104,0.018,0.032,0,0,0.556,Condos
2014-02-01,1075,339000,22,-1.88,1.25,2.5,1.4,0.24,0.025,-0.313,0,0,0,Condos
2014-03-01,1396,338100,20,-1.97,1.25,2.5,1.4,0.299,-0.003,-0.091,0,0,0,Condos
2014-04-01,1562,347900,21,-0.6,1.25,2.4,2.2,0.119,0.029,0.05,0,-0.04,0.571,Condos
2014-05-01,1612,340000,21,-2.57,1.25,2.4,2.2,0.032,-0.023,0,0,0,0,Condos
2014-06-01,1596,349500,23,-2.03,1.25,2.4,2.2,-0.01,0.028,0.095,0,0,0,Condos
2014-07-01,1575,340500,24,-2.43,1.25,2.4,2,-0.013,-0.026,0.043,0,0,-0.091,Condos
2014-08-01,1374,330000,27,-2.33,1.25,2.4,2,-0.128,-0.031,0.125,0,0,0,Condos
2014-09-01,1405,340000,22,-2.82,1.25,2.4,2,0.023,0.03,-0.185,0,0,0,Condos
2014-10-01,1447,343000,23,-1.71,1.25,2.4,2,0.03,0.009,0.045,0,0,0,Condos
2014-11-01,1231,339490,25,-2.72,1.25,2.3,2,-0.149,-0.01,0.087,0,-0.042,0,Condos
2014-12-01,884,341500,29,-2.4,1.25,2.3,2,-0.282,0.006,0.16,0,0,0,Condos
2015-01-01,888,337500,25,-2.15,1,2.3,1,0.005,-0.012,-0.138,-0.2,0,-0.5,Condos
