id,Date,Quarter,Year,Month,#_of_Sales,Avg_List_Price,Avg_Sold_Price,Above/Below_Asking,Monthly_Change_$,Monthly_Change_%,Days_on_Market
ct_001,2013-08-01,3,2013,8,197,339900,336100,-1.11,-26900,-7.41,18
ct_002,2013-09-01,3,2013,9,199,349900,345800,-1.17,9700,2.88,20
ct_003,2013-10-01,4,2013,10,221,389000,380000,-2.31,34200,9.89,19
ct_004,2013-11-01,4,2013,11,183,369000,359900,-2.46,-20100,-5.28,22
ct_005,2013-12-01,4,2013,12,111,358000,359000,0.27,-900,-0.25,24
ct_006,2014-01-01,1,2014,1,109,330000,320000,-3.03,-39000,-10.86,21
ct_007,2014-02-01,1,2014,2,135,395000,400000,1.26,80000,25,15
ct_008,2014-03-01,1,2014,3,202,359950,372500,3.48,-27500,-6.87,13
ct_009,2014-04-01,2,2014,4,246,389900,387000,-0.74,14500,3.89,14
ct_010,2014-05-01,2,2014,5,291,388000,388000,0,1000,0.25,13
ct_011,2014-06-01,2,2014,6,283,385000,388000,0.77,0,0,15
ct_012,2014-07-01,3,2014,7,262,389450,385875,-0.91,-2125,-0.54,15
ct_013,2014-08-01,3,2014,8,223,389900,386000,-1,125,0.03,19
ct_014,2014-09-01,3,2014,9,217,389900,388000,-0.48,2000,0.51,17
ct_015,2014-10-01,4,2014,10,237,398900,395000,-0.97,7000,1.8,16
ct_016,2014-11-01,4,2014,11,179,415900,420000,0.98,25000,6.32,18
ct_017,2014-12-01,4,2014,12,106,368750,364000,-1.28,-56000,-13.33,26
ct_018,2015-01-01,1,2015,1,103,394999,395000,0,31000,8.51,16
ct_019,2015-02-01,1,2015,2,180,388000,392250,1.09,-2750,-0.69,14
ct_020,2015-03-01,1,2015,3,241,405000,420000,3.7,27750,7.07,11
ct_021,2015-04-01,2,2015,4,307,429000,441000,2.79,21000,5,12
ct_022,2015-05-01,2,2015,5,347,425000,437500,2.94,-3500,-0.79,12
ct_023,2015-06-01,2,2015,6,324,408944,430750,5.33,-6750,-1.54,13
ct_024,2015-07-01,3,2015,7,259,438800,444000,1.18,13250,3.07,14
ct_025,2015-08-01,3,2015,8,224,427950,428000,0.01,-16000,-3.6,14
