id,Date,Quarter,Year,Month,#_of_Sales,Avg_List_Price,Avg_Sold_Price,Above/Below_Asking,Monthly_Change_$,Monthly_Change_%,Days_on_Market
dh_001,2013-08-01,3,2013,8,898,598400,590250,-1.36,-19750,-3.23,14
dh_002,2013-09-01,3,2013,9,1023,649900,650000,0.01,59750,10.12,11
dh_003,2013-10-01,4,2013,10,1166,649900,659000,1.4,9000,1.38,12
dh_004,2013-11-01,4,2013,11,947,649900,660000,1.55,1000,0.15,12
dh_005,2013-12-01,4,2013,12,452,629450,628000,-0.23,-32000,-4.84,17
dh_006,2014-01-01,1,2014,1,512,696500,699000,0.35,71000,11.3,11
dh_007,2014-02-01,1,2014,2,735,740000,751000,1.48,52000,7.43,8
dh_008,2014-03-01,1,2014,3,1115,679000,699500,3.01,-51500,-6.85,8
dh_009,2014-04-01,2,2014,4,1393,699900,730000,4.3,30500,4.36,8
dh_010,2014-05-01,2,2014,5,1622,699900,728000,4.01,-2000,-0.27,8
dh_011,2014-06-01,2,2014,6,1405,699000,715000,2.28,-13000,-1.78,9
dh_012,2014-07-01,3,2014,7,1115,669000,680000,1.64,-35000,-4.89,11
dh_013,2014-08-01,3,2014,8,873,649900,657000,1.09,-23000,-3.38,12
dh_014,2014-09-01,3,2014,9,1182,699900,727000,3.87,70000,10.65,9
dh_015,2014-10-01,4,2014,10,1243,720000,740000,2.77,13000,1.78,9
dh_016,2014-11-01,4,2014,11,971,699900,730000,4.3,-10000,-1.35,12
dh_017,2014-12-01,4,2014,12,531,679999,677000,-0.44,-53000,-7.26,18
dh_018,2015-01-01,1,2015,1,502,732000,746250,1.94,69250,10.22,9
dh_019,2015-02-01,1,2015,2,844,763950,810500,6.09,64250,8.6,8
dh_020,2015-03-01,1,2015,3,1152,779450,807500,3.59,-3000,-0.37,7
dh_021,2015-04-01,2,2015,4,1510,781513,810000,3.64,2500,0.3,8
dh_022,2015-05-01,2,2015,5,1523,799000,828000,3.62,18000,2.22,8
dh_023,2015-06-01,2,2015,6,1518,769000,799900,4.01,-28100,-3.39,8
dh_024,2015-07-01,3,2015,7,1055,749000,740000,-1.2,-59900,-7.48,11
dh_025,2015-08-01,3,2015,8,793,731000,753000,3,13000,1.75,11
dh_026,2015-09-01,3,2015,9,1112,769700,791500,2.83,38500,5.11,8
dh_027,2015-10-01,4,2015,10,1112,799450,820050,2.57,28550,3.6,10
dh_028,2015-11-01,4,2015,11,903,795000,795000,0,-25050,-3.05,13
dh_029,2015-12-01,4,2015,12,571,739000,740000,0.13,-55000,-6.91,15
dh_030,2016-01-01,1,2016,1,536,779000,787000,1.02,47000,6.35,9
dh_031,2016-02-01,1,2016,2,898,871500,920000,5.56,133000,16.89,7
dh_032,2016-03-01,1,2016,3,1122,828944,880000,6.15,-40000,-4.34,8
dh_033,2016-04-01,2,2016,4,1479,899000,961000,6.89,81000,9.2,7
dh_034,2016-05-01,2,2016,5,1688,888900,960000,7.99,-1000,-0.1,7
dh_035,2016-06-01,2,2016,6,1507,879900,940000,6.83,-20000,-2.08,7
dh_036,2016-07-01,3,2016,7,852,834000,885000,6.11,-55000,-5.85,8
dh_037,2016-08-01,3,2016,8,881,799990,865000,8.12,-20000,-2.25,8
dh_038,2016-09-01,3,2016,9,1064,898000,954000,6.23,89000,10.28,7
dh_039,2016-10-01,4,2016,10,997,919000,1000000,8.81,46000,4.82,7
dh_040,2016-11-01,4,2016,11,1033,938800,1003800,6.92,3800,0.38,8
dh_041,2016-12-01,4,2016,12,516,899950,950000,5.56,-53800,-5.35,12
dh_042,2017-01-01,1,2017,1,513,899999,1012000,12.44,62000,6.52,7
dh_043,2017-02-01,1,2017,2,831,999000,1255000,25.62,243000,24.01,7
dh_044,2017-03-01,1,2017,3,1204,998800,1250500,25.2,-4500,-0.35,7
dh_045,2017-04-01,2,2017,4,1273,1078000,1275000,18.27,24500,1.95,7
dh_046,2017-05-01,2,2017,5,1148,999000,1101750,10.28,-173250,-13.58,7
dh_047,2017-06-01,2,2017,6,755,1049000,1075000,2.47,-26750,-2.42,10
