id,Date,Quarter,Year,Month,#_of_Sales,Avg_List_Price,Avg_Sold_Price,Above/Below_Asking,Monthly_Change_$,Monthly_Change_%,Days_on_Market
ft_001,2013-08-01,3,2013,8,307,519000,512500,-1.25,-32500,-5.96,10
ft_002,2013-09-01,3,2013,9,433,549000,570100,3.84,57600,11.23,8
ft_003,2013-10-01,4,2013,10,468,562000,575500,2.4,5400,0.94,8
ft_004,2013-11-01,4,2013,11,365,569900,580000,1.77,4500,0.78,9
ft_005,2013-12-01,4,2013,12,180,554495,565500,1.98,-14500,-2.5,11
ft_006,2014-01-01,1,2014,1,211,539000,540000,0.18,-25500,-4.5,9
ft_007,2014-02-01,1,2014,2,311,595800,625000,4.9,85000,15.74,7
ft_008,2014-03-01,1,2014,3,470,575000,599500,4.26,-25500,-4.08,7
ft_009,2014-04-01,2,2014,4,526,589900,611950,3.73,12450,2.07,7
ft_010,2014-05-01,2,2014,5,656,599000,620000,3.5,8050,1.31,7
ft_011,2014-06-01,2,2014,6,623,598900,619000,3.35,-1000,-0.16,8
ft_012,2014-07-01,3,2014,7,467,589000,599000,1.69,-20000,-3.23,10
ft_013,2014-08-01,3,2014,8,360,559000,571250,2.19,-27750,-4.63,11
ft_014,2014-09-01,3,2014,9,445,599900,640000,6.68,68750,12.03,8
ft_015,2014-10-01,4,2014,10,534,599950,640000,6.67,0,0,9
ft_016,2014-11-01,4,2014,11,361,599000,616000,2.83,-24000,-3.75,10
ft_017,2014-12-01,4,2014,12,193,569900,571800,0.33,-44200,-7.17,13
ft_018,2015-01-01,1,2015,1,186,629000,635000,0.95,63200,11.05,9
ft_019,2015-02-01,1,2015,2,285,629000,657000,4.45,22000,3.46,7
ft_020,2015-03-01,1,2015,3,473,629000,672000,6.83,15000,2.28,7
ft_021,2015-04-01,2,2015,4,593,609900,658800,8.01,-13200,-1.96,7
ft_022,2015-05-01,2,2015,5,662,649900,691500,6.4,32700,4.96,7
ft_023,2015-06-01,2,2015,6,648,649950,680000,4.62,-11500,-1.66,7
ft_024,2015-07-01,3,2015,7,431,629000,650000,3.33,-30000,-4.41,9
ft_025,2015-08-01,3,2015,8,337,599000,622500,3.92,-27500,-4.23,9
ft_026,2015-09-01,3,2015,9,436,659450,699000,5.99,76500,12.28,7
ft_027,2015-10-01,4,2015,10,516,676944,695000,2.66,-4000,-0.57,10
ft_028,2015-11-01,4,2015,11,402,679900,685000,0.75,-10000,-1.43,10
ft_029,2015-12-01,4,2015,12,201,679000,688000,1.32,3000,0.43,13
ft_030,2016-01-01,1,2016,1,202,599900,644500,7.43,-43500,-6.32,9
ft_031,2016-02-01,1,2016,2,346,699000,742000,6.15,97500,15.12,7
ft_032,2016-03-01,1,2016,3,464,699000,745000,6.58,3000,0.4,7
ft_033,2016-04-01,2,2016,4,546,699000,760000,8.72,15000,2.01,7
ft_034,2016-05-01,2,2016,5,605,699000,780000,11.58,20000,2.63,7
ft_035,2016-06-01,2,2016,6,593,699900,800000,14.3,20000,2.56,7
ft_036,2016-07-01,3,2016,7,335,699000,760000,8.72,-40000,-5,7
ft_037,2016-08-01,3,2016,8,305,678000,707000,4.27,-53000,-6.97,7
ft_038,2016-09-01,3,2016,9,414,699900,790500,12.94,83500,11.81,7
