id,Date,Quarter,Year,Month,#_of_Sales,Avg_List_Price,Avg_Sold_Price,Above/Below_Asking_%,Monthly_Change_$,Monthly_Change_%,Days_on_Market,Condos,Condo_Townhomes,Freehold_Townhomes,Detached_Homes,brm_lookup
all_001,2013-08-01,3,2013,8,2693,446800,440187,-1.48,-21063,-4.56,17,c_001,ct_001,ft_001,dh_001,brm_001
all_002,2013-09-01,3,2013,9,2906,471950,474225,0.48,34038,7.73,15,c_002,ct_002,ft_002,dh_002,brm_002
all_003,2013-10-01,4,2013,10,3152,485200,486750,0.31,12525,2.64,16,c_003,ct_003,ft_003,dh_003,brm_003
all_004,2013-11-01,4,2013,11,2606,482175,482600,0.08,-4150,-0.85,17,c_004,ct_004,ft_004,dh_004,brm_004
all_005,2013-12-01,4,2013,12,1528,467961,469375,0.3,-13225,-2.74,20,c_005,ct_005,ft_005,dh_005,brm_005
all_006,2014-01-01,1,2014,1,1699,476100,472437,-0.76,3062,0.65,18,c_006,ct_006,ft_006,dh_006,brm_006
all_007,2014-02-01,1,2014,2,2256,519075,528750,1.86,56313,11.91,13,c_007,ct_007,ft_007,dh_007,brm_007
all_008,2014-03-01,1,2014,3,3183,489712,502400,2.59,-26350,-4.98,11,c_008,ct_008,ft_008,dh_008,brm_008
all_009,2014-04-01,2,2014,4,3727,507425,519212,2.32,16812,3.34,12,c_009,ct_009,ft_009,dh_009,brm_009
all_010,2014-05-01,2,2014,5,4181,508975,519000,1.96,-212,-0.04,12,c_010,ct_010,ft_010,dh_010,brm_010
all_011,2014-06-01,2,2014,6,3907,509912,517875,1.56,-1125,-0.21,13,c_011,ct_011,ft_011,dh_011,brm_011
all_012,2014-07-01,3,2014,7,3419,499112,501343,0.44,-16532,-3.19,15,c_012,ct_012,ft_012,dh_012,brm_012
all_013,2014-08-01,3,2014,8,2830,484175,486062,0.38,-15281,-3.04,17,c_013,ct_013,ft_013,dh_013,brm_013
all_014,2014-09-01,3,2014,9,3249,509900,523750,2.71,37688,7.75,14,c_014,ct_014,ft_014,dh_014,brm_014
all_015,2014-10-01,4,2014,10,3461,516962,529500,2.42,5750,1.09,14,c_015,ct_015,ft_015,dh_015,brm_015
all_016,2014-11-01,4,2014,11,2742,515950,526372,2.01,-3128,-0.59,16,c_016,ct_016,ft_016,dh_016,brm_016
all_017,2014-12-01,4,2014,12,1714,492137,488575,-0.72,-37797,-7.18,21,c_017,ct_017,ft_017,dh_017,brm_017
all_018,2015-01-01,1,2015,1,1679,525237,528437,0.6,39862,8.15,14,c_018,ct_018,ft_018,dh_018,brm_018
all_019,2015-02-01,1,2015,2,2509,529050,547437,3.47,19000,3.59,12,c_019,ct_019,ft_019,dh_019,brm_019
all_020,2015-03-01,1,2015,3,3484,543337,563625,3.73,16188,2.95,11,c_020,ct_020,ft_020,dh_020,brm_020
all_021,2015-04-01,2,2015,4,4174,546353,567450,3.86,3825,0.67,11,c_021,ct_021,ft_021,dh_021,brm_021
all_022,2015-05-01,2,2015,5,4355,559700,578500,3.35,11050,1.94,11,c_022,ct_022,ft_022,dh_022,brm_022
all_023,2015-06-01,2,2015,6,4406,547098,566787,3.59,-11713,-2.02,12,c_023,ct_023,ft_023,dh_023,brm_023
all_024,2015-07-01,3,2015,7,3468,544175,546750,0.47,-20037,-3.53,14,c_024,ct_024,ft_024,dh_024,brm_024
all_025,2015-08-01,3,2015,8,2832,529300,539125,1.85,-7625,-1.39,14,c_025,ct_025,ft_025,dh_025,brm_025
all_026,2015-09-01,3,2015,9,3205,551763,566562,2.68,27437,5.08,13,c_026,ct_026,ft_026,dh_026,brm_026
all_027,2015-10-01,4,2015,10,3453,567173,576375,1.62,9813,1.73,15,c_027,ct_027,ft_027,dh_027,brm_027
all_028,2015-11-01,4,2015,11,2844,567462,566762,-0.12,-9613,-1.66,16,c_028,ct_028,ft_028,dh_028,brm_028
all_029,2015-12-01,4,2015,12,1910,547700,547000,-0.12,-19762,-3.48,19,c_029,ct_029,ft_029,dh_029,brm_029
all_030,2016-01-01,1,2016,1,1885,545837,555875,1.83,8875,1.62,16,c_030,ct_030,ft_030,dh_030,brm_030
all_031,2016-02-01,1,2016,2,2914,599850,625000,4.19,69125,12.43,11,c_031,ct_031,ft_031,dh_031,brm_031
all_032,2016-03-01,1,2016,3,3725,588573,616750,4.78,-8250,-1.32,10,c_032,ct_032,ft_032,dh_032,brm_032
all_033,2016-04-01,2,2016,4,4470,612575,648750,5.9,32000,5.18,9,c_033,ct_033,ft_033,dh_033,brm_033
all_034,2016-05-01,2,2016,5,4811,611722,654000,6.91,5250,0.8,9,c_034,ct_034,ft_034,dh_034,brm_034
all_035,2016-06-01,2,2016,6,4569,611312,654375,7.04,375,0.05,10,c_035,ct_035,ft_035,dh_035,brm_035
all_036,2016-07-01,3,2016,7,2533,592975,624750,5.35,-29625,-4.52,11,c_036,ct_036,ft_036,dh_036,brm_036
all_037,2016-08-01,3,2016,8,3128,588622,614250,4.35,-10500,-1.68,11,c_037,ct_037,ft_037,dh_037,brm_037
all_038,2016-09-01,3,2016,9,2948,619200,661225,6.78,46975,7.64,10,c_038,ct_038,ft_038,dh_038,brm_038
all_039,2016-10-01,4,2016,10,2963,641712,680437,6.03,19212,2.9,10,c_039,ct_039,ft_039,dh_039,brm_039
all_040,2016-11-01,4,2016,11,3129,649175,685025,5.52,4588,0.67,10,c_040,ct_040,ft_040,dh_040,brm_040
all_041,2016-12-01,4,2016,12,1913,631662,656750,3.97,-28275,-4.12,12,c_041,ct_041,ft_041,dh_041,brm_041
all_042,2017-01-01,1,2017,1,1953,638448,705502,10.5,48752,7.42,8,c_042,ct_042,ft_042,dh_042,brm_042
all_043,2017-02-01,1,2017,2,2818,681222,796000,16.84,90498,12.82,7,c_043,ct_043,ft_043,dh_043,brm_043
all_044,2017-03-01,1,2017,3,3837,686787,827325,20.46,31325,3.93,6,c_044,ct_044,ft_044,dh_044,brm_044
all_045,2017-04-01,2,2017,4,3860,718062,839125,16.85,11800,1.42,7,c_045,ct_045,ft_045,dh_045,brm_045
all_046,2017-05-01,2,2017,5,3693,722750,781187,8.08,-57938,-6.9,7,c_046,ct_046,ft_046,dh_046,brm_046
all_047,2017-06-01,2,2017,6,2525,724487,742562,2.49,-38625,-4.94,10,c_047,ct_047,ft_047,dh_047,brm_047
all_048,2017-07-01,3,2017,7,1483,702062,704373,0.32,-38189,-5.14,15,c_048,ct_048,ft_048,dh_048,brm_048
all_049,2017-08-01,3,2017,8,1710,680199,688625,1.23,-15748,-2.23,17,c_049,ct_049,ft_049,dh_049,brm_049
all_050,2017-09-01,3,2017,9,1794,716830,721500,0.65,32875,4.77,12,c_050,ct_050,ft_050,dh_050,brm_050
all_051,2017-10-01,4,2017,10,2257,730800,739250,1.15,17750,2.46,13,c_051,ct_051,ft_051,dh_051,brm_051
all_052,2017-11-01,4,2017,11,2706,693049,701281,1.18,-37969,-5.13,13,c_052,ct_052,ft_052,dh_052,brm_052
all_053,2017-12-01,4,2017,12,1485,684836,681611,-0.47,-19670,-2.8,16,c_053,ct_053,ft_053,dh_053,brm_053
all_054,2018-01-01,1,2018,1,1275,712850,717750,0.68,36139,5.3,19,c_054,ct_054,ft_054,dh_054,brm_054
all_055,2018-02-01,1,2018,2,1770,733575,748249,2,30499,4.24,11,c_055,ct_055,ft_055,dh_055,brm_055
all_056,2018-03-01,1,2018,3,2593,738725,754200,2.09,5951,0.79,8,c_056,ct_056,ft_056,dh_056,brm_056
all_057,2018-04-01,2,2018,4,2869,741700,784562,5.77,30362,4.02,9,c_057,ct_057,ft_057,dh_057,brm_057
all_058,2018-05-01,2,2018,5,3073,743587,777125,4.51,-7437,-0.94,10,c_058,ct_058,ft_058,dh_058,brm_058
all_059,2018-06-01,2,2018,6,2663,753323,774925,2.86,-2200,-0.28,11,c_059,ct_059,ft_059,dh_059,brm_059
all_060,2018-07-01,3,2018,7,1880,727100,729225,0.29,-45700,-5.89,13,c_060,ct_060,ft_060,dh_060,brm_060
all_061,2018-08-01,3,2018,8,2050,700950,706000,0.72,-23225,-3.18,15,c_061,ct_061,ft_061,dh_061,brm_061
all_062,2018-09-01,3,2018,9,2206,750925,759625,1.15,53625,7.59,11,c_062,ct_062,ft_062,dh_062,brm_062
all_063,2018-10-01,4,2018,10,2844,744697,772625,3.75,13000,1.71,12,c_063,ct_063,ft_063,dh_063,brm_063
all_064,2018-11-01,4,2018,11,2420,748450,765500,2.27,-7125,-0.92,14,c_064,ct_064,ft_064,dh_064,brm_064
all_065,2018-12-01,4,2018,12,1349,715837,709687,-0.85,-55813,-7.29,20,c_065,ct_065,ft_065,dh_065,brm_065
all_066,2019-01-01,1,2019,1,1391,726725,735250,1.17,25563,3.6,14,c_066,ct_066,ft_066,dh_066,brm_066
all_067,2019-02-01,1,2019,2,1863,769000,790625,2.81,55375,7.53,12,c_067,ct_067,ft_067,dh_067,brm_067
all_068,2019-03-01,1,2019,3,2454,742300,767562,3.4,-23063,-2.91,9,c_068,ct_068,ft_068,dh_068,brm_068
all_069,2019-04-01,2,2019,4,3138,756975,784000,3.57,16438,2.14,9,c_069,ct_069,ft_069,dh_069,brm_069
all_070,2019-05-01,2,2019,5,3475,782750,807500,3.16,23500,2.99,10,c_070,ct_070,ft_070,dh_070,brm_070
all_071,2019-06-01,2,2019,6,2977,783000,801562,2.37,-5938,-0.73,11,c_071,ct_071,ft_071,dh_071,brm_071
all_072,2019-07-01,3,2019,7,2917,746725,761250,1.94,-40312,-5.02,13,c_072,ct_072,ft_072,dh_072,brm_072
all_073,2019-08-01,3,2019,8,2329,739200,756250,2.3,-5000,-0.65,14,c_073,ct_073,ft_073,dh_073,brm_073
all_074,2019-09-01,3,2019,9,2995,775459,813475,4.9,57225,7.56,10,c_074,ct_074,ft_074,dh_074,brm_074
all_075,2019-10-01,4,2019,10,3219,781450,811875,3.89,-1600,-0.19,12,c_075,ct_075,ft_075,dh_075,brm_075
all_076,2019-11-01,4,2019,11,2548,771787,798562,3.46,-13313,-1.63,12,c_076,ct_076,ft_076,dh_076,brm_076
all_077,2019-12-01,4,2019,12,1499,763087,780064,2.22,-18498,-2.31,16,c_077,ct_077,ft_077,dh_077,brm_077
all_078,2020-01-01,1,2020,1,1564,779337,799250,2.55,19186,2.45,9,c_078,ct_078,ft_078,dh_078,brm_078
all_079,2020-02-01,1,2020,2,2576,844810,912784,8.04,113534,14.2,7,c_079,ct_079,ft_079,dh_079,brm_079
all_080,2020-03-01,1,2020,3,2611,786950,878600,11.64,-34184,-3.74,6,c_080,ct_080,ft_080,dh_080,brm_080
all_081,2020-04-01,2,2020,4,962,807912,818750,1.34,-59850,-6.81,12,c_081,ct_081,ft_081,dh_081,brm_081
all_082,2020-05-01,2,2020,5,1446,842935,864450,2.55,45700,5.58,11,c_082,ct_082,ft_082,dh_082,brm_082
all_083,2020-06-01,2,2020,6,2794,878450,918437,4.55,53987,6.24,8,c_083,ct_083,ft_083,dh_083,brm_083
all_084,2020-07-01,3,2020,7,3495,861975,904125,4.88,-14312,-1.55,9,c_084,ct_084,ft_084,dh_084,brm_084
all_085,2020-08-01,3,2020,8,3287,823175,877475,6.59,-26650,-2.94,9,c_085,ct_085,ft_085,dh_085,brm_085
all_086,2020-09-01,3,2020,9,3423,833975,875595,4.99,-1880,-0.21,10,c_086,ct_086,ft_086,dh_086,brm_086
all_087,2020-10-01,4,2020,10,3353,831750,859500,3.33,-16095,-1.83,11,c_087,ct_087,ft_087,dh_087,brm_087
all_088,2020-11-01,4,2020,11,2893,843937,870225,3.11,10725,1.24,12,c_088,ct_088,ft_088,dh_088,brm_088
all_089,2020-12-01,4,2020,12,2541,848825,875000,3.08,4775,0.54,16,c_089,ct_089,ft_089,dh_089,brm_089
all_090,2021-01-01,1,2021,1,2540,885725,936037,5.68,61037,6.97,11,c_090,ct_090,ft_090,dh_090,brm_090
all_091,2021-02-01,1,2021,2,3623,886350,981100,10.68,45063,4.81,7,c_091,ct_091,ft_091,dh_091,brm_091
all_092,2021-03-01,1,2021,3,5159,883975,996500,12.72,15400,1.56,6,c_092,ct_092,ft_092,dh_092,brm_092
all_093,2021-04-01,2,2021,4,4539,895725,1001975,11.86,5475,0.54,6,c_093,ct_093,ft_093,dh_093,brm_093
all_094,2021-05-01,2,2021,5,4141,897525,988500,10.13,-13475,-1.34,7,c_094,ct_094,ft_094,dh_094,brm_094
all_095,2021-06-01,2,2021,6,3715,903096,976937,8.17,-11563,-1.16,8,c_095,ct_095,ft_095,dh_095,brm_095
all_096,2021-07-01,3,2021,7,3096,896737,955812,6.58,-21125,-2.16,9,c_096,ct_096,ft_096,dh_096,brm_096
all_097,2021-08-01,3,2021,8,2968,893420,952000,6.55,-3812,-0.39,10,c_097,ct_097,ft_097,dh_097,brm_097
all_098,2021-09-01,3,2021,9,3152,909450,1008375,10.87,56375,5.92,7,c_098,ct_098,ft_098,dh_098,brm_098
all_099,2021-10-01,4,2021,10,3819,943225,1027000,8.88,18625,1.84,8,c_099,ct_099,ft_099,dh_099,brm_099
all_100,2021-11-01,4,2021,11,3002,915112,1034812,13.08,7812,0.76,8,c_100,ct_100,ft_100,dh_100,brm_100
all_101,2021-12-01,4,2021,12,1860,918446,1033750,12.55,-1062,-0.1,9,c_101,ct_101,ft_101,dh_101,brm_101
all_102,2022-01-01,1,2022,1,2145,977562,1142625,16.88,108875,10.53,6,c_102,ct_102,ft_102,dh_102,brm_102
all_103,2022-02-01,1,2022,2,3327,989025,1188250,20.14,45625,3.99,6,c_103,ct_103,ft_103,dh_103,brm_103
all_104,2022-03-01,1,2022,3,3459,1003986,1162272,15.76,-25978,-2.18,6,c_104,ct_104,ft_104,dh_104,brm_104
all_105,2022-04-01,2,2022,4,2878,1030700,1121717,8.83,-40555,-3.48,7,c_105,ct_105,ft_105,dh_105,brm_105
all_106,2022-05-01,2,2022,5,2481,1016350,1084562,6.71,-37155,-3.31,8,c_106,ct_106,ft_106,dh_106,brm_106
all_107,2022-06-01,2,2022,6,2372,1008075,1023000,1.48,-61562,-5.67,10,c_107,ct_107,ft_107,dh_107,brm_107
all_108,2022-07-01,3,2022,7,1427,971362,955026,-1.68,-67974,-6.64,15,c_108,ct_108,ft_108,dh_108,brm_108
all_109,2022-08-01,3,2022,8,1735,929461,939625,1.09,-15401,-1.61,15,c_109,ct_109,ft_109,dh_109,brm_109
all_110,2022-09-01,3,2022,9,1627,962562,957500,-0.52,17875,1.9,13,c_110,ct_110,ft_110,dh_110,brm_110
all_111,2022-10-01,4,2022,10,1766,964237,964125,-0.01,6625,0.69,13,c_111,ct_111,ft_111,dh_111,brm_111
all_112,2022-11-01,4,2022,11,1642,937597,939125,0.16,-25000,-2.59,13,c_112,ct_112,ft_112,dh_112,brm_112
