id,date,bank_rate,Quarter,Year,Month,inf_lookup,,,
brm_001,2013-08-01,1.25,3,2013,8,inf_001,,,
brm_002,2013-09-01,1.25,3,2013,9,inf_001,,,
brm_003,2013-10-01,1.25,4,2013,10,inf_002,,,
brm_004,2013-11-01,1.25,4,2013,11,inf_002,,,
brm_005,2013-12-01,1.25,4,2013,12,inf_002,,,
brm_006,2014-01-01,1.25,1,2014,1,inf_003,,,
brm_007,2014-02-01,1.25,1,2014,2,inf_003,,,
brm_008,2014-03-01,1.25,1,2014,3,inf_003,,,
brm_009,2014-04-01,1.25,2,2014,4,inf_004,,,
brm_010,2014-05-01,1.25,2,2014,5,inf_004,,,
brm_011,2014-06-01,1.25,2,2014,6,inf_004,,,
brm_012,2014-07-01,1.25,3,2014,7,inf_005,,,
brm_013,2014-08-01,1.25,3,2014,8,inf_005,,,
brm_014,2014-09-01,1.25,3,2014,9,inf_005,,,
brm_015,2014-10-01,1.25,4,2014,10,inf_006,,,
brm_016,2014-11-01,1.25,4,2014,11,inf_006,,,
brm_017,2014-12-01,1.25,4,2014,12,inf_006,,,
brm_018,2015-01-01,1,1,2015,1,inf_007,,,
brm_019,2015-02-01,1,1,2015,2,inf_007,,,
brm_020,2015-03-01,1,1,2015,3,inf_007,,,
brm_021,2015-04-01,1,2,2015,4,inf_008,,,
brm_022,2015-05-01,1,2,2015,5,inf_008,,,
brm_023,2015-06-01,1,2,2015,6,inf_008,,,
brm_024,2015-07-01,0.75,3,2015,7,inf_009,,,
brm_025,2015-08-01,0.75,3,2015,8,inf_009,,,
brm_026,2015-09-01,0.75,3,2015,9,inf_009,,,
brm_027,2015-10-01,0.75,4,2015,10,inf_010,,,
brm_028,2015-11-01,0.75,4,2015,11,inf_010,,,
brm_029,2015-12-01,0.75,4,2015,12,inf_010,,,
brm_030,2016-01-01,0.75,1,2016,1,inf_011,,,
brm_031,2016-02-01,0.75,1,2016,2,inf_011,,,
brm_032,2016-03-01,0.75,1,2016,3,inf_011,,,
brm_033,2016-04-01,0.75,2,2016,4,inf_012,,,
brm_034,2016-05-01,0.75,2,2016,5,inf_012,,,
brm_035,2016-06-01,0.75,2,2016,6,inf_012,,,
brm_036,2016-07-01,0.75,3,2016,7,inf_013,,,
brm_037,2016-08-01,0.75,3,2016,8,inf_013,,,
brm_038,2016-09-01,0.75,3,2016,9,inf_013,,,
brm_039,2016-10-01,0.75,4,2016,10,inf_014,,,
brm_040,2016-11-01,0.75,4,2016,11,inf_014,,,
brm_041,2016-12-01,0.75,4,2016,12,inf_014,,,
brm_042,2017-01-01,0.75,1,2017,1,inf_015,,,
brm_043,2017-02-01,0.75,1,2017,2,inf_015,,,
brm_044,2017-03-01,0.75,1,2017,3,inf_015,,,
brm_045,2017-04-01,0.75,2,2017,4,inf_016,,,
brm_046,2017-05-01,0.75,2,2017,5,inf_016,,,
brm_047,2017-06-01,0.75,2,2017,6,inf_016,,,
brm_048,2017-07-01,1,3,2017,7,inf_017,,,
brm_049,2017-08-01,1,3,2017,8,inf_017,,,
brm_050,2017-09-01,1.25,3,2017,9,inf_017,,,
brm_051,2017-10-01,1.25,4,2017,10,inf_018,,,
brm_052,2017-11-01,1.25,4,2017,11,inf_018,,,
brm_053,2017-12-01,1.25,4,2017,12,inf_018,,,
brm_054,2018-01-01,1.5,1,2018,1,inf_019,,,
brm_055,2018-02-01,1.5,1,2018,2,inf_019,,,
brm_056,2018-03-01,1.5,1,2018,3,inf_019,,,
brm_057,2018-04-01,1.5,2,2018,4,inf_020,,,
brm_058,2018-05-01,1.5,2,2018,5,inf_020,,,
brm_059,2018-06-01,1.5,2,2018,6,inf_020,,,
brm_060,2018-07-01,1.75,3,2018,7,inf_021,,,
brm_061,2018-08-01,1.75,3,2018,8,inf_021,,,
brm_062,2018-09-01,1.75,3,2018,9,inf_021,,,
brm_063,2018-10-01,2,4,2018,10,inf_022,,,
brm_064,2018-11-01,2,4,2018,11,inf_022,,,
brm_065,2018-12-01,2,4,2018,12,inf_022,,,
brm_066,2019-01-01,2,1,2019,1,inf_023,,,
brm_067,2019-02-01,2,1,2019,2,inf_023,,,
brm_068,2019-03-01,2,1,2019,3,inf_023,,,
brm_069,2019-04-01,2,2,2019,4,inf_024,,,
brm_070,2019-05-01,2,2,2019,5,inf_024,,,
brm_071,2019-06-01,2,2,2019,6,inf_024,,,
brm_072,2019-07-01,2,3,2019,7,inf_025,,,
brm_073,2019-08-01,2,3,2019,8,inf_025,,,
brm_074,2019-09-01,2,3,2019,9,inf_025,,,
brm_075,2019-10-01,2,4,2019,10,inf_026,,,
brm_076,2019-11-01,2,4,2019,11,inf_026,,,
brm_077,2019-12-01,2,4,2019,12,inf_026,,,
brm_078,2020-01-01,2,1,2020,1,inf_027,,,
brm_079,2020-02-01,2,1,2020,2,inf_027,,,
brm_080,2020-03-01,1,1,2020,3,inf_027,,,
brm_081,2020-04-01,0.5,2,2020,4,inf_028,,,
brm_082,2020-05-01,0.5,2,2020,5,inf_028,,,
brm_083,2020-06-01,0.5,2,2020,6,inf_028,,,
brm_084,2020-07-01,0.5,3,2020,7,inf_029,,,
brm_085,2020-08-01,0.5,3,2020,8,inf_029,,,
brm_086,2020-09-01,0.5,3,2020,9,inf_029,,,
brm_087,2020-10-01,0.5,4,2020,10,inf_030,,,
brm_088,2020-11-01,0.5,4,2020,11,inf_030,,,
brm_089,2020-12-01,0.5,4,2020,12,inf_030,,,
brm_090,2021-01-01,0.5,1,2021,1,inf_031,,,
brm_091,2021-02-01,0.5,1,2021,2,inf_031,,,
brm_092,2021-03-01,0.5,1,2021,3,inf_031,,,
brm_093,2021-04-01,0.5,2,2021,4,inf_032,,,
brm_094,2021-05-01,0.5,2,2021,5,inf_032,,,
brm_095,2021-06-01,0.5,2,2021,6,inf_032,,,
brm_096,2021-07-01,0.5,3,2021,7,inf_033,,,
brm_097,2021-08-01,0.5,3,2021,8,inf_033,,,
brm_098,2021-09-01,0.5,3,2021,9,inf_033,,,
brm_099,2021-10-01,0.5,4,2021,10,inf_034,,,
brm_100,2021-11-01,0.5,4,2021,11,inf_034,,,
brm_101,2021-12-01,0.5,4,2021,12,inf_034,,,
brm_102,2022-01-01,0.5,1,2022,1,inf_035,,,
brm_103,2022-02-01,0.5,1,2022,2,inf_035,,,
brm_104,2022-03-01,0.75,1,2022,3,inf_035,,,
brm_105,2022-04-01,1.25,2,2022,4,inf_036,,,
brm_106,2022-05-01,1.25,2,2022,5,inf_036,,,
brm_107,2022-06-01,1.75,2,2022,6,inf_036,,,
brm_108,2022-07-01,2.75,3,2022,7,inf_037,,,
brm_109,2022-08-01,2.75,3,2022,8,inf_037,,,
brm_110,2022-09-01,3.5,3,2022,9,inf_037,,,
brm_111,2022-10-01,3.5,4,2022,10,inf_038,,,
brm_112,2022-11-01,4,4,2022,11,inf_038,,,
brm_113,2022-12-01,4.5,4,2022,12,inf_038,,,
brm_114,2023-01-01,4.5,1,2023,1,inf_039,,,
